unique_id,F1A10_1,F2A7,F2A9,F3A3_1,F3A6_1,F3A7_1,F3A8_1
IDUS103408,2,3,2,6,4,4,7
IDUS103554,7,2,5,7,1,1,1
IDUS103826,4,1,4,7,1,3,4
IDUS104424,5,3,4,7,1,2,2
IDUS104578,6,2,4,6,1,3,2
IDUS104666,7,3,4,5,1,2,1
IDUS104915,4,3,2,4,7,6,5
IDUS105157,5,3,3,5,7,7,7
IDUS105307,3,4,2,5,1,2,1
IDUS105345,4,3,4,2,3,4,3
IDUS106103,4,5,3,5,2,3,3
IDUS107320,7,1,5,4,7,7,7
IDUS106240,5,2,1,1,7,7,7
IDUS106278,4,3,5,1,4,4,7
IDUS108274,6,2,3,6,2,2,2
IDUS108306,3,5,4,6,6,3,4
IDUS108712,4,1,2,3,4,4,3
IDUS109286,6,2,2,7,4,3,6
IDUS109452,5,3,2,6,2,4,3
IDUS109531,5,3,4,5,6,6,6
IDUS109590,6,2,4,7,4,2,2
IDUS110077,6,1,1,6,2,6,6
IDUS110181,5,2,2,3,3,1,4
IDUS110288,4,5,5,6,4,4,4
IDUS110347,7,4,3,5,2,4,3
IDUS110348,6,3,3,5,3,3,3
IDUS110358,6,3,4,6,7,7,7
IDUS110514,7,2,3,5,6,6,6
IDUS110757,6,3,4,6,7,6,6
IDUS110884,7,2,3,6,1,4,6
IDUS111006,6,1,3,6,6,4,3
IDUS111066,5,3,4,5,4,5,5
IDUS111151,4,1,1,4,4,4,4
IDUS111169,6,2,2,4,4,2,2
IDUS111996,7,2,2,7,1,2,4
IDUS112031,5,2,4,5,5,5,5
IDUS112093,7,4,4,7,2,2,6
IDUS112141,7,5,5,6,1,1,1
IDUS112849,7,3,5,5,2,1,1
IDUS113075,6,2,3,3,2,5,1
IDUS112590,6,2,5,6,1,3,3
IDUS113299,5,4,3,6,6,5,5
IDUS113581,2,5,5,4,1,1,3
IDUS113690,7,5,1,1,1,1,1
IDUS113762,7,5,5,7,1,1,1
IDUS113795,4,2,3,4,3,3,3
IDUS113895,6,3,3,4,3,3,3
IDUS114452,6,1,4,5,6,6,6
IDUS114516,6,2,5,4,6,7,7
IDUS114931,4,3,3,3,4,4,3
IDUS115441,2,5,4,6,2,4,4
IDUS115505,7,3,5,7,5,3,2
IDUS115524,5,2,3,3,7,7,7
IDUS115630,4,2,2,6,3,4,2
IDUS115645,3,5,3,5,1,2,4
IDUS115659,5,3,2,7,4,4,3
IDUS116154,6,2,4,3,7,3,2
IDUS116159,7,2,2,5,1,2,5
IDUS116165,7,4,2,1,4,3,2
IDUS116369,4,2,3,4,4,4,4
IDUS117263,7,3,5,7,4,3,3
IDUS104462,1,2,5,1,6,4,3
IDUS118500,7,2,3,7,1,2,1
IDUS118348,7,4,3,7,2,2,1
IDUS108736,4,2,4,6,4,4,4
IDUS118210,7,5,5,6,4,5,6
IDUS119358,7,4,3,7,6,1,1
IDUS112910,3,3,2,3,3,1,1
IDUS121233,5,3,4,2,4,3,3
IDUS121718,5,3,3,6,3,3,3
IDUS121853,7,5,4,7,1,1,2
IDUS121893,7,2,4,7,1,1,1
IDUS121978,4,2,3,6,6,5,4
IDUS122148,6,3,3,6,4,3,4
IDUS122178,6,4,3,6,4,3,3
IDUS122448,5,3,4,5,3,2,3
IDUS124201,2,2,4,5,4,3,3
IDUS124403,6,2,2,6,1,3,2
IDUS123988,7,2,4,7,2,1,1
IDUS126058,6,3,4,6,2,2,3
IDUS125517,6,2,3,7,1,2,2
IDUS125849,7,4,3,7,1,1,3
IDUS125536,7,3,4,6,7,4,4
IDUS126130,5,4,4,6,2,2,2
IDUS126772,5,1,2,6,3,3,3
IDUS126169,2,3,3,3,7,6,5
IDUS126112,7,4,4,1,1,1,1
IDUS126174,5,2,2,7,3,3,3
IDUS126726,2,2,2,3,7,7,7
IDUS126791,6,5,2,6,1,2,3
IDUS126143,7,5,5,1,1,1,1
IDUS126664,7,4,4,6,6,4,2
IDUS126154,6,1,3,7,1,1,1
IDUS126876,4,5,5,3,1,5,5
IDUS126773,6,3,5,7,7,7,7
IDUS127530,7,4,4,7,1,2,3
IDUS127768,4,3,3,4,5,4,4
IDUS127802,6,3,3,6,1,1,1
IDUS127809,4,3,5,4,4,4,3
IDUS130041,4,4,4,7,3,2,3
IDUS128906,6,1,2,6,5,1,3
IDUS129270,4,2,4,4,1,1,1
IDUS130394,6,5,5,3,3,4,3
IDUS130532,3,1,4,6,3,4,3
IDUS131162,6,5,5,7,2,5,3
IDUS131200,5,2,5,7,6,4,3
IDUS131206,5,3,4,7,1,4,5
IDUS132872,4,4,5,2,1,3,7
IDUS132960,6,3,4,6,1,4,4
IDUS133993,4,2,5,6,7,7,7
IDUS137441,6,4,3,6,2,1,2
IDUS137909,7,3,1,3,7,6,6
IDUS130050,5,3,3,4,5,5,5
IDUS133707,5,2,2,3,5,5,6
IDUS140583,7,2,3,7,1,1,1
IDUS140390,7,3,4,7,2,2,2
IDUS140555,3,1,5,7,7,7,6
