unique_id,F1A10_1,F2A6,F2A7,F2A9,F3A3_1,F3A6_1,F3A7_1,F3A8_1
IDUS103408,2,3,3,2,6,4,4,7
IDUS103554,7,5,2,5,7,1,1,1
IDUS103826,4,1,1,4,7,1,3,4
IDUS104424,5,4,3,4,7,1,2,2
IDUS104578,6,5,2,4,6,1,3,2
IDUS104666,7,4,3,4,5,1,2,1
IDUS104915,4,2,3,2,4,7,6,5
IDUS105157,5,3,3,3,5,7,7,7
IDUS105307,3,4,4,2,5,1,2,1
IDUS105345,4,4,3,4,2,3,4,3
IDUS106103,4,2,5,3,5,2,3,3
IDUS105307,6,5,5,2,5,4,1,1
IDUS107320,7,1,1,5,4,7,7,7
IDUS104424,6,3,3,3,5,1,1,2
IDUS104915,4,2,3,2,5,7,6,6
IDUS106240,5,2,2,1,1,7,7,7
IDUS106278,4,3,3,5,1,4,4,7
IDUS103554,7,5,3,5,7,1,1,1
IDUS104578,6,5,2,4,7,2,3,3
IDUS107320,6,4,4,5,3,5,4,4
IDUS106240,5,2,1,1,1,6,7,6
IDUS104424,6,3,3,3,6,1,1,1
IDUS108274,6,2,2,3,6,2,2,2
IDUS108306,3,3,5,4,6,6,3,4
IDUS108712,4,1,1,2,3,4,4,3
IDUS109286,6,3,2,2,7,4,3,6
IDUS109452,5,3,3,2,6,2,4,3
IDUS109531,5,2,3,4,5,6,6,6
IDUS109590,6,2,2,4,7,4,2,2
IDUS110077,6,1,1,1,6,2,6,6
IDUS110181,5,2,2,2,3,3,1,4
IDUS103554,7,4,4,5,7,1,1,1
IDUS104424,7,3,4,4,5,1,1,1
IDUS104578,4,5,2,5,6,3,3,2
IDUS104915,3,3,3,2,4,6,7,6
IDUS106240,6,2,1,2,2,4,7,6
IDUS106278,4,3,3,5,1,7,1,7
IDUS107320,7,2,5,5,7,7,7,7
IDUS110288,4,5,5,5,6,4,4,4
IDUS110347,7,3,4,3,5,2,4,3
IDUS110348,6,2,3,3,5,3,3,3
IDUS110358,6,3,3,4,6,7,7,7
IDUS110514,7,2,2,3,5,6,6,6
IDUS110757,6,3,3,4,6,7,6,6
IDUS110884,7,3,2,3,6,1,4,6
IDUS111006,6,1,1,3,6,6,4,3
IDUS111066,5,3,3,4,5,4,5,5
IDUS111151,4,1,1,1,4,4,4,4
IDUS111169,6,3,2,2,4,4,2,2
IDUS111996,7,4,2,2,7,1,2,4
IDUS104915,4,2,3,2,5,7,7,7
IDUS104578,7,5,3,5,7,1,2,2
IDUS106240,5,2,2,2,2,4,7,7
IDUS103554,7,4,3,5,7,1,1,1
IDUS111006,6,2,1,3,6,5,3,2
IDUS109452,6,4,4,2,6,2,4,3
IDUS110347,7,3,5,3,6,3,4,2
IDUS110358,4,2,3,4,6,6,7,6
IDUS106278,3,3,3,3,1,4,4,7
IDUS104666,7,5,3,3,6,1,1,1
IDUS109286,7,3,3,3,7,3,3,5
IDUS109590,7,5,3,5,7,1,2,2
IDUS105307,3,5,5,2,2,1,2,1
IDUS104424,6,3,4,4,5,1,1,1
IDUS110348,6,2,2,3,5,5,2,2
IDUS112031,5,4,2,4,5,5,5,5
IDUS112093,7,4,4,4,7,2,2,6
IDUS112141,7,5,5,5,6,1,1,1
IDUS112849,7,2,3,5,5,2,1,1
IDUS113075,6,4,2,3,3,2,5,1
IDUS103554,7,3,3,4,7,1,1,1
IDUS103826,4,1,1,4,7,1,3,4
IDUS104578,7,4,3,5,7,1,2,2
IDUS104915,4,3,3,2,5,7,7,7
IDUS105307,3,5,5,2,5,1,1,1
IDUS106240,7,2,2,1,2,4,6,7
IDUS106278,3,3,3,5,1,7,4,7
IDUS107320,6,3,3,5,5,4,4,4
IDUS109286,5,4,4,5,6,4,3,6
IDUS109452,6,3,3,2,5,1,4,4
IDUS110347,6,3,4,3,5,1,4,3
IDUS111006,5,2,2,3,6,5,4,3
IDUS111169,7,5,3,4,6,4,4,3
IDUS104915,4,3,3,2,5,7,7,7
IDUS109452,6,4,4,2,5,3,4,4
IDUS110348,5,2,2,3,4,2,2,2
IDUS110884,7,3,2,4,7,4,2,4
IDUS110347,6,3,4,3,3,2,4,3
IDUS104424,7,4,4,4,5,1,1,1
IDUS112590,6,5,2,5,6,1,3,3
IDUS111006,6,1,2,3,6,1,3,2
IDUS112093,7,4,5,4,6,7,7,7
IDUS103554,7,3,5,4,7,1,1,1
IDUS111996,7,4,1,4,7,2,3,3
IDUS104578,7,5,3,5,7,2,2,2
IDUS109286,6,3,3,1,7,4,3,5
IDUS106240,6,2,1,2,1,4,7,7
IDUS103826,6,1,1,4,7,1,2,2
IDUS111066,6,3,3,4,3,4,5,5
IDUS110358,5,2,3,4,7,6,7,6
IDUS110757,7,3,3,4,6,3,5,6
IDUS111996,7,4,1,3,7,2,3,3
IDUS112093,6,4,4,4,7,7,1,1
IDUS104424,7,4,4,4,5,1,1,1
IDUS108306,3,3,2,4,3,4,4,5
IDUS113299,5,3,4,3,6,6,5,5
IDUS105345,4,3,4,4,3,3,4,4
IDUS106240,6,2,1,1,3,7,7,7
IDUS103554,7,3,3,4,7,1,1,1
IDUS110347,6,3,3,3,5,7,4,3
IDUS109286,5,3,3,2,7,4,3,4
IDUS109590,6,4,4,5,7,3,3,3
IDUS109452,6,3,3,2,5,1,4,4
IDUS112849,6,2,4,4,2,1,2,1
IDUS109531,4,2,2,3,5,6,6,6
IDUS112590,5,5,2,4,2,1,4,3
IDUS110348,7,2,3,5,3,2,2,2
IDUS106278,3,3,3,3,1,7,4,7
IDUS110757,7,3,2,3,7,3,7,6
IDUS113581,2,4,5,5,4,1,1,3
IDUS113690,7,5,5,1,1,1,1,1
IDUS113762,7,3,5,5,7,1,1,1
IDUS112141,7,5,5,4,7,7,2,2
IDUS113795,4,2,2,3,4,3,3,3
IDUS113895,6,2,3,3,4,3,3,3
IDUS114452,6,1,1,4,5,6,6,6
IDUS114516,6,1,2,5,4,6,7,7
IDUS114931,4,2,3,3,3,4,4,3
IDUS114516,7,2,1,5,4,5,6,6
IDUS113299,5,2,4,2,5,5,6,3
IDUS112849,6,5,5,5,6,1,1,1
IDUS112141,7,5,5,4,6,1,2,2
IDUS111169,7,5,3,3,3,3,3,3
IDUS111066,6,3,3,4,5,4,5,4
IDUS110347,6,3,5,3,5,3,4,3
IDUS109590,7,4,3,5,7,1,2,2
IDUS109452,6,4,4,2,6,1,4,4
IDUS106278,3,3,3,3,1,7,4,7
IDUS106240,5,1,1,2,2,7,7,7
IDUS104578,6,4,4,5,7,2,2,2
IDUS104424,7,4,4,4,5,1,1,1
IDUS103554,7,3,3,4,7,1,1,1
IDUS115441,2,4,5,4,6,2,4,4
IDUS115505,7,5,3,5,7,5,3,2
IDUS115524,5,2,2,3,3,7,7,7
IDUS115630,4,3,2,2,6,3,4,2
IDUS115645,3,5,5,3,5,1,2,4
IDUS115659,5,4,3,2,7,4,4,3
IDUS116154,6,3,2,4,3,7,3,2
IDUS116159,7,3,2,2,5,1,2,5
IDUS116165,7,3,4,2,1,4,3,2
IDUS116369,4,2,2,3,4,4,4,4
IDUS117263,7,3,3,5,7,4,3,3
IDUS114452,6,1,3,3,6,6,6,6
IDUS114516,6,1,2,5,3,6,7,7
IDUS109531,5,2,2,3,5,6,6,6
IDUS104462,1,5,2,5,1,6,4,3
IDUS110514,4,2,2,2,3,6,6,6
IDUS111169,6,3,3,3,6,4,3,3
IDUS105345,4,4,4,4,3,3,4,4
IDUS109452,6,3,3,2,5,1,4,4
IDUS106103,4,3,4,3,6,1,3,3
IDUS108274,3,2,2,3,6,3,3,3
IDUS113795,5,3,3,4,5,2,3,3
IDUS106278,4,3,3,3,1,7,4,7
IDUS109590,7,3,3,4,7,2,2,2
IDUS104578,6,5,3,5,6,1,1,1
IDUS113762,7,3,4,5,6,7,1,3
IDUS110348,7,2,2,4,3,1,2,2
IDUS111066,6,4,4,4,6,4,3,4
IDUS103826,4,5,5,5,6,4,2,1
IDUS106240,7,1,1,2,3,5,7,7
IDUS103554,7,3,3,5,7,1,1,1
IDUS118500,7,5,2,3,7,1,2,1
IDUS108306,5,3,3,2,4,4,5,5
IDUS118348,7,4,4,3,7,2,2,1
IDUS111996,7,4,3,3,7,1,1,2
IDUS112093,7,4,4,5,6,7,1,1
IDUS109286,6,3,3,2,6,5,3,5
IDUS104424,7,4,4,4,5,1,1,1
IDUS111006,7,2,1,3,7,6,4,3
IDUS110347,6,3,4,3,5,1,4,3
IDUS108736,4,2,2,4,6,4,4,4
IDUS118210,7,4,5,5,6,4,5,6
IDUS110884,7,3,2,4,7,2,3,5
IDUS119358,7,3,4,3,7,6,1,1
IDUS103554,7,5,5,5,7,1,1,1
IDUS103826,3,2,3,1,6,1,1,2
IDUS104424,7,4,4,4,5,7,1,1
IDUS105345,4,4,4,4,4,5,3,3
IDUS106103,4,3,4,3,6,1,3,3
IDUS106240,7,1,1,3,3,7,7,7
IDUS106278,3,3,3,5,1,7,4,7
